iter	Passed	Remaining
0	3	3798
1	10	5390
2	18	6056
3	25	6372
4	32	6461
5	38	6454
6	45	6423
7	50	6286
8	56	6190
9	62	6145
10	67	6082
11	73	6013
12	79	6019
13	84	5954
14	89	5896
15	96	5941
16	102	5947
17	109	5967
18	115	5976
19	121	5971
20	127	5936
21	133	5920
22	139	5945
23	146	5968
24	152	5954
25	158	5937
26	165	5955
27	172	5984
28	178	5976
29	185	5982
30	191	5973
31	197	5966
32	204	5987
33	211	6005
34	217	6001
35	223	5978
36	229	5968
37	235	5958
38	241	5957
39	248	5954
40	253	5934
41	259	5914
42	265	5900
43	271	5888
44	277	5880
45	282	5862
46	288	5842
47	293	5824
48	300	5822
49	306	5820
50	311	5805
51	318	5799
52	323	5784
53	330	5794
54	338	5818
55	346	5844
56	352	5832
57	359	5831
58	365	5827
59	372	5840
60	380	5851
61	388	5875
62	395	5882
63	402	5884
64	409	5892
65	415	5876
66	421	5864
67	428	5866
68	434	5869
69	441	5868
70	447	5852
71	453	5849
72	460	5843
73	466	5842
74	473	5839
75	479	5824
76	484	5813
77	491	5809
78	496	5793
79	502	5782
80	509	5775
81	514	5755
82	520	5748
83	528	5762
84	535	5761
85	542	5770
86	548	5761
87	553	5740
88	558	5721
89	563	5702
90	568	5683
91	573	5661
92	578	5640
93	582	5617
94	588	5606
95	593	5584
96	598	5568
97	603	5555
98	609	5544
99	614	5530
100	620	5519
101	624	5499
102	629	5480
103	634	5469
104	639	5453
105	644	5436
106	649	5421
107	654	5409
108	659	5392
109	665	5380
110	669	5359
111	673	5340
112	678	5326
113	683	5313
114	688	5299
115	694	5291
116	699	5277
117	704	5262
118	709	5249
119	714	5236
120	719	5228
121	725	5218
122	729	5199
123	734	5190
124	739	5178
125	744	5167
126	750	5159
127	755	5145
128	760	5132
129	765	5122
130	770	5112
131	776	5102
132	781	5094
133	786	5084
134	792	5074
135	797	5067
136	802	5056
137	807	5044
138	814	5043
139	820	5042
140	827	5040
141	832	5030
142	838	5025
143	845	5023
144	851	5021
145	857	5014
146	863	5012
147	869	5008
148	875	4999
149	881	4992
150	886	4984
151	893	4982
152	899	4979
153	905	4975
154	910	4962
155	915	4954
156	935	5023
157	940	5012
158	945	5003
159	951	4993
160	955	4980
161	961	4971
162	966	4963
163	973	4960
164	978	4951
165	983	4943
166	989	4933
167	995	4928
168	1000	4920
169	1006	4912
170	1011	4901
171	1015	4888
172	1021	4880
173	1026	4874
174	1033	4870
175	1037	4858
176	1043	4851
177	1048	4841
178	1053	4832
179	1059	4826
180	1065	4821
181	1070	4813
182	1076	4807
183	1082	4799
184	1087	4792
185	1093	4786
186	1099	4781
187	1105	4776
188	1111	4768
189	1117	4764
190	1123	4758
191	1129	4751
192	1135	4749
193	1141	4743
194	1147	4735
195	1152	4728
196	1159	4725
197	1164	4718
198	1170	4710
199	1178	4713
200	1184	4707
201	1189	4699
202	1197	4700
203	1205	4703
204	1225	4752
205	1232	4750
206	1239	4747
207	1244	4738
208	1251	4735
209	1271	4784
210	1278	4782
211	1286	4781
212	1293	4778
213	1299	4773
214	1306	4769
215	1312	4764
216	1317	4755
217	1323	4747
218	1329	4742
219	1335	4733
220	1339	4723
221	1346	4719
222	1352	4713
223	1359	4709
224	1364	4701
225	1370	4694
226	1377	4689
227	1383	4683
228	1389	4676
229	1394	4668
230	1400	4660
231	1405	4652
232	1411	4646
233	1416	4637
234	1422	4629
235	1428	4622
236	1433	4614
237	1438	4606
238	1458	4644
239	1463	4633
240	1469	4628
241	1475	4622
242	1480	4613
243	1485	4603
244	1490	4594
245	1496	4586
246	1501	4577
247	1506	4568
248	1511	4559
249	1516	4549
250	1536	4585
251	1541	4576
252	1546	4567
253	1551	4556
254	1555	4545
255	1566	4554
256	1571	4544
257	1576	4533
258	1581	4524
259	1585	4513
260	1590	4504
261	1595	4494
262	1600	4485
263	1605	4475
264	1610	4466
265	1615	4457
266	1619	4447
267	1625	4438
268	1629	4428
269	1634	4418
270	1638	4408
271	1643	4398
272	1647	4388
273	1652	4377
274	1657	4369
275	1661	4357
276	1665	4348
277	1670	4338
278	1675	4329
279	1680	4320
280	1684	4310
281	1690	4304
282	1695	4295
283	1699	4285
284	1704	4276
285	1708	4266
286	1713	4256
287	1718	4248
288	1723	4240
289	1728	4232
290	1733	4223
291	1737	4213
292	1742	4203
293	1746	4194
294	1751	4184
295	1755	4175
296	1760	4166
297	1764	4157
298	1769	4148
299	1773	4138
300	1779	4131
301	1783	4123
302	1788	4114
303	1793	4106
304	1798	4097
305	1803	4091
306	1808	4081
307	1812	4072
308	1817	4064
309	1822	4056
310	1827	4049
311	1833	4043
312	1838	4035
313	1844	4028
314	1851	4025
315	1855	4017
316	1867	4023
317	1871	4014
318	1877	4008
319	1884	4004
320	1889	3996
321	1895	3991
322	1914	4013
323	1920	4006
324	1926	4000
325	1947	4025
326	1951	4017
327	1956	4009
328	1964	4007
329	1970	3999
330	1974	3991
331	1980	3984
332	1985	3977
333	1990	3969
334	1995	3961
335	2000	3954
336	2007	3948
337	2011	3940
338	2016	3932
339	2022	3925
340	2027	3918
341	2032	3910
342	2037	3903
343	2042	3895
344	2048	3889
345	2054	3882
346	2059	3875
347	2065	3869
348	2070	3862
349	2075	3854
350	2081	3848
351	2086	3841
352	2091	3833
353	2096	3826
354	2101	3818
355	2107	3811
356	2112	3804
357	2117	3797
358	2122	3790
359	2127	3782
360	2132	3775
361	2138	3768
362	2142	3760
363	2148	3753
364	2152	3745
365	2157	3737
366	2162	3729
367	2167	3721
368	2172	3714
369	2177	3707
370	2182	3699
371	2186	3691
372	2191	3683
373	2196	3676
374	2201	3668
375	2206	3662
376	2211	3655
377	2216	3647
378	2221	3640
379	2226	3633
380	2231	3624
381	2235	3616
382	2240	3609
383	2245	3602
384	2250	3594
385	2254	3586
386	2259	3579
387	2264	3571
388	2269	3565
389	2275	3559
390	2280	3551
391	2285	3544
392	2289	3536
393	2294	3528
394	2298	3521
395	2303	3513
396	2308	3506
397	2313	3499
398	2318	3492
399	2322	3484
400	2328	3477
401	2332	3470
402	2337	3463
403	2342	3456
404	2347	3448
405	2352	3441
406	2357	3434
407	2361	3427
408	2366	3419
409	2371	3412
410	2376	3405
411	2380	3397
412	2385	3390
413	2389	3382
414	2393	3374
415	2398	3367
416	2403	3360
417	2408	3353
418	2413	3346
419	2418	3339
420	2423	3332
421	2427	3325
422	2432	3317
423	2437	3310
424	2441	3303
425	2445	3295
426	2450	3288
427	2455	3281
428	2459	3273
429	2464	3266
430	2470	3260
431	2474	3253
432	2478	3245
433	2483	3238
434	2487	3231
435	2492	3223
436	2496	3216
437	2501	3209
438	2505	3201
439	2510	3194
440	2514	3187
441	2518	3180
442	2523	3172
443	2528	3166
444	2532	3158
445	2537	3151
446	2542	3145
447	2546	3138
448	2551	3130
449	2556	3124
450	2560	3116
451	2565	3109
452	2569	3103
453	2574	3096
454	2578	3088
455	2583	3081
456	2587	3074
457	2591	3067
458	2596	3060
459	2601	3054
460	2605	3046
461	2610	3039
462	2614	3032
463	2618	3025
464	2622	3017
465	2627	3010
466	2631	3003
467	2635	2995
468	2639	2988
469	2643	2981
470	2648	2974
471	2653	2968
472	2659	2962
473	2664	2956
474	2669	2950
475	2675	2944
476	2680	2938
477	2684	2931
478	2689	2925
479	2694	2919
480	2699	2912
481	2704	2906
482	2709	2900
483	2715	2894
484	2720	2888
485	2725	2882
486	2730	2876
487	2735	2869
488	2740	2863
489	2745	2857
490	2750	2850
491	2755	2845
492	2761	2839
493	2766	2833
494	2771	2827
495	2775	2820
496	2780	2814
497	2786	2808
498	2790	2801
499	2795	2795
500	2801	2789
501	2805	2783
502	2811	2777
503	2816	2771
504	2820	2764
505	2826	2758
506	2830	2752
507	2835	2745
508	2839	2739
509	2845	2733
510	2849	2727
511	2854	2720
512	2859	2714
513	2863	2707
514	2868	2701
515	2873	2695
516	2878	2688
517	2882	2682
518	2887	2676
519	2892	2669
520	2897	2663
521	2901	2657
522	2906	2651
523	2911	2644
524	2916	2638
525	2920	2631
526	2925	2625
527	2929	2619
528	2934	2612
529	2939	2606
530	2943	2600
531	2948	2593
532	2952	2587
533	2957	2580
534	2961	2574
535	2966	2568
536	2971	2561
537	2976	2555
538	2980	2549
539	2984	2542
540	2989	2536
541	2994	2530
542	2998	2523
543	3004	2518
544	3009	2512
545	3014	2506
546	3019	2500
547	3024	2494
548	3028	2487
549	3033	2481
550	3037	2475
551	3042	2469
552	3046	2462
553	3051	2456
554	3055	2449
555	3060	2443
556	3065	2437
557	3070	2432
558	3075	2426
559	3080	2420
560	3085	2414
561	3090	2408
562	3095	2402
563	3100	2397
564	3105	2391
565	3111	2385
566	3116	2379
567	3120	2373
568	3125	2367
569	3130	2361
570	3135	2355
571	3140	2350
572	3145	2344
573	3151	2338
574	3156	2333
575	3162	2327
576	3167	2322
577	3172	2316
578	3177	2310
579	3182	2304
580	3188	2299
581	3193	2293
582	3199	2288
583	3204	2282
584	3209	2277
585	3214	2271
586	3219	2265
587	3225	2259
588	3230	2254
589	3235	2248
590	3241	2243
591	3246	2237
592	3251	2231
593	3256	2225
594	3261	2219
595	3266	2214
596	3271	2208
597	3276	2202
598	3280	2196
599	3285	2190
600	3290	2184
601	3295	2178
602	3300	2173
603	3305	2167
604	3311	2161
605	3316	2156
606	3322	2151
607	3327	2145
608	3332	2139
609	3337	2133
610	3342	2127
611	3347	2122
612	3352	2116
613	3357	2110
614	3361	2104
615	3366	2098
616	3372	2093
617	3391	2096
618	3396	2090
619	3401	2085
620	3407	2079
621	3412	2073
622	3418	2068
623	3423	2062
624	3428	2057
625	3433	2051
626	3439	2046
627	3453	2045
628	3459	2040
629	3465	2035
630	3471	2029
631	3477	2024
632	3481	2018
633	3486	2012
634	3494	2008
635	3499	2002
636	3505	1997
637	3511	1992
638	3516	1986
639	3522	1981
640	3528	1976
641	3533	1970
642	3539	1965
643	3545	1960
644	3551	1954
645	3558	1950
646	3566	1945
647	3582	1946
648	3589	1941
649	3597	1937
650	3603	1931
651	3608	1926
652	3613	1920
653	3620	1915
654	3628	1911
655	3634	1905
656	3641	1900
657	3647	1895
658	3653	1890
659	3660	1885
660	3665	1880
661	3671	1874
662	3678	1869
663	3684	1864
664	3690	1859
665	3696	1853
666	3702	1848
667	3708	1842
668	3713	1837
669	3720	1832
670	3726	1827
671	3733	1822
672	3740	1817
673	3745	1811
674	3750	1805
675	3755	1800
676	3760	1794
677	3767	1789
678	3773	1783
679	3778	1778
680	3785	1773
681	3790	1767
682	3796	1761
683	3801	1756
684	3806	1750
685	3812	1745
686	3817	1739
687	3823	1733
688	3827	1727
689	3833	1722
690	3838	1716
691	3844	1710
692	3849	1705
693	3853	1699
694	3858	1693
695	3864	1687
696	3869	1682
697	3874	1676
698	3880	1670
699	3885	1665
700	3889	1659
701	3894	1653
702	3899	1647
703	3904	1641
704	3909	1635
705	3914	1629
706	3918	1623
707	3923	1618
708	3929	1612
709	3934	1606
710	3939	1601
711	3945	1595
712	3950	1590
713	3955	1584
714	3960	1578
715	3965	1573
716	3970	1567
717	3976	1561
718	3981	1556
719	3986	1550
720	3990	1544
721	3995	1538
722	4000	1532
723	4007	1527
724	4011	1521
725	4016	1515
726	4020	1509
727	4037	1508
728	4042	1502
729	4047	1497
730	4052	1491
731	4057	1485
732	4063	1480
733	4069	1474
734	4075	1469
735	4081	1463
736	4086	1458
737	4091	1452
738	4097	1446
739	4101	1441
740	4107	1435
741	4112	1429
742	4117	1424
743	4123	1418
744	4128	1413
745	4133	1407
746	4137	1401
747	4142	1395
748	4147	1389
749	4152	1384
750	4157	1378
751	4162	1372
752	4167	1366
753	4172	1361
754	4177	1355
755	4181	1349
756	4186	1344
757	4191	1338
758	4196	1332
759	4201	1326
760	4207	1321
761	4212	1315
762	4217	1310
763	4222	1304
764	4227	1298
765	4233	1293
766	4237	1287
767	4243	1281
768	4247	1276
769	4252	1270
770	4257	1264
771	4262	1258
772	4268	1253
773	4273	1247
774	4278	1242
775	4282	1236
776	4288	1230
777	4292	1224
778	4298	1219
779	4303	1213
780	4309	1208
781	4315	1203
782	4321	1197
783	4326	1191
784	4332	1186
785	4338	1181
786	4344	1175
787	4349	1170
788	4354	1164
789	4360	1159
790	4366	1153
791	4371	1148
792	4378	1142
793	4383	1137
794	4389	1131
795	4394	1126
796	4400	1120
797	4406	1115
798	4411	1109
799	4417	1104
800	4422	1098
801	4429	1093
802	4436	1088
803	4443	1083
804	4451	1078
805	4458	1073
806	4465	1067
807	4474	1063
808	4481	1058
809	4488	1052
810	4494	1047
811	4502	1042
812	4510	1037
813	4516	1032
814	4523	1026
815	4528	1021
816	4535	1015
817	4542	1010
818	4549	1005
819	4556	1000
820	4564	995
821	4570	989
822	4576	984
823	4582	978
824	4588	973
825	4595	968
826	4603	963
827	4610	957
828	4616	952
829	4621	946
830	4628	941
831	4635	936
832	4642	930
833	4648	925
834	4656	920
835	4662	914
836	4669	909
837	4675	903
838	4681	898
839	4687	892
840	4694	887
841	4699	881
842	4705	876
843	4711	870
844	4716	865
845	4723	859
846	4728	854
847	4733	848
848	4739	843
849	4745	837
850	4752	832
851	4758	826
852	4763	820
853	4770	815
854	4775	809
855	4782	804
856	4789	799
857	4796	793
858	4802	788
859	4808	782
860	4813	777
861	4819	771
862	4824	765
863	4830	760
864	4836	754
865	4842	749
866	4848	743
867	4853	738
868	4859	732
869	4864	726
870	4869	721
871	4875	715
872	4880	710
873	4886	704
874	4891	698
875	4896	693
876	4902	687
877	4907	681
878	4912	676
879	4918	670
880	4925	665
881	4930	659
882	4936	654
883	4942	648
884	4948	642
885	4953	637
886	4959	631
887	4965	626
888	4971	620
889	4977	615
890	4982	609
891	4988	603
892	4993	598
893	5000	592
894	5006	587
895	5012	581
896	5018	576
897	5024	570
898	5030	565
899	5034	559
900	5040	553
901	5046	548
902	5051	542
903	5057	537
904	5062	531
905	5067	525
906	5072	520
907	5078	514
908	5083	508
909	5088	503
910	5093	497
911	5098	491
912	5104	486
913	5109	480
914	5114	475
915	5120	469
916	5126	463
917	5131	458
918	5136	452
919	5141	447
920	5147	441
921	5152	435
922	5158	430
923	5162	424
924	5167	419
925	5173	413
926	5178	407
927	5183	402
928	5189	396
929	5194	390
930	5199	385
931	5205	379
932	5210	374
933	5215	368
934	5221	362
935	5226	357
936	5231	351
937	5236	346
938	5241	340
939	5246	334
940	5251	329
941	5256	323
942	5260	317
943	5265	312
944	5270	306
945	5274	301
946	5279	295
947	5284	289
948	5289	284
949	5294	278
950	5299	273
951	5304	267
952	5309	261
953	5313	256
954	5318	250
955	5323	244
956	5328	239
957	5332	233
958	5338	228
959	5342	222
960	5347	217
961	5352	211
962	5357	205
963	5361	200
964	5366	194
965	5371	189
966	5375	183
967	5380	177
968	5386	172
969	5390	166
970	5395	161
971	5400	155
972	5405	150
973	5410	144
974	5415	138
975	5419	133
976	5423	127
977	5428	122
978	5433	116
979	5438	110
980	5443	105
981	5448	99
982	5453	94
983	5457	88
984	5463	83
985	5468	77
986	5472	72
987	5477	66
988	5482	60
989	5487	55
990	5492	49
991	5497	44
992	5502	38
993	5507	33
994	5512	27
995	5517	22
996	5523	16
997	5527	11
998	5532	5
999	5537	0
